territory_id,month_id,actual_sales,target_sales
T33,2025-02,67537.88,48760.0
T34,2025-02,79309.5,66608.0
T35,2025-02,87766.52,68080.0
T36,2025-02,85949.92,68632.0
T37,2025-02,98504.9,46736.0
T38,2025-02,66944.68,53544.0
T39,2025-02,105461.99,44620.0
T40,2025-02,85694.61,56580.0
T01,2025-03,141431.51,41952.5
T02,2025-03,149258.48,59814.85
T03,2025-03,109787.99,34086.53
T04,2025-03,120719.48,45679.34
T05,2025-03,117932.84,52442.86
T06,2025-03,148586.85,47849.72
T07,2025-03,114361.5,40378.29
T08,2025-03,148489.62,65663.42
T09,2025-03,117161.09,60700.31
T10,2025-03,100504.73,40092.41
T11,2025-03,100148.94,72932.53
T12,2025-03,110437.08,53335.3
T13,2025-03,105805.31,64845.7
T14,2025-03,111842.22,53013.09
T15,2025-03,114560.08,56358.79
T16,2025-03,113234.14,59868.46
T17,2025-03,89252.25,46979.0
T18,2025-03,109054.59,47185.95
T19,2025-03,134318.3,39812.04
T20,2025-03,125221.29,58426.23
T21,2025-03,112816.39,63386.85
T22,2025-03,71081.73,54630.83
T23,2025-03,142053.56,52270.4
T24,2025-03,112482.47,53678.97
T25,2025-03,89763.64,56981.71
T26,2025-03,96931.84,38015.19
T27,2025-03,138780.17,69293.91
T28,2025-03,86115.38,48294.77
T29,2025-03,103975.88,61123.62
T30,2025-03,106214.38,52398.12
T31,2025-03,131461.32,41082.98
T32,2025-03,97040.79,65981.83
T33,2025-03,75071.83,48760.0
T34,2025-03,75344.94,66608.0
T35,2025-03,82572.43,68080.0
T36,2025-03,99082.14,68632.0
T37,2025-03,100583.21,46736.0
T38,2025-03,61825.25,53544.0
T39,2025-03,100245.88,44620.0
T40,2025-03,87405.7,56580.0
T01,2025-04,146081.58,42185.34
T02,2025-04,149670.72,57605.96
T03,2025-04,118790.22,34975.25
T04,2025-04,117277.08,48263.29
T05,2025-04,118244.13,51630.87
T06,2025-04,130675.57,47901.41
T07,2025-04,111273.19,39174.94
T08,2025-04,157365.51,67712.24
T09,2025-04,104848.11,62574.27
T10,2025-04,99496.04,37595.52
T11,2025-04,112097.07,74658.3
T12,2025-04,117241.68,52273.68
T13,2025-04,102463.52,65111.55
T14,2025-04,99789.26,54095.65
T15,2025-04,103181.54,54649.38
T16,2025-04,108894.82,59836.53
T17,2025-04,105746.01,48044.52
T18,2025-04,115311.19,49282.57
T19,2025-04,117819.01,40801.45
T20,2025-04,123409.68,59295.67
T21,2025-04,97184.68,59353.09
T22,2025-04,68470.86,54871.13
T23,2025-04,143190.73,56535.49
T24,2025-04,97155.11,52055.28
T25,2025-04,93185.58,54685.86
T26,2025-04,112932.87,40002.62
T27,2025-04,140477.51,68408.18
T28,2025-04,75293.44,50728.75
T29,2025-04,103141.47,63358.32
T30,2025-04,113374.46,47755.29
T31,2025-04,119125.38,42853.67
T32,2025-04,91789.08,69396.2
T33,2025-04,74143.35,48760.0
T34,2025-04,76144.99,66608.0
T35,2025-04,84174.79,68080.0
T36,2025-04,89220.46,68632.0
T37,2025-04,84994.75,46736.0
T38,2025-04,62909.74,53544.0
T39,2025-04,102770.9,44620.0
T40,2025-04,88434.7,56580.0
T01,2025-05,139297.82,43595.3
T02,2025-05,144121.36,59345.11
T03,2025-05,126368.3,34560.9
T04,2025-05,123009.2,47787.65
T05,2025-05,126339.76,51691.38
T06,2025-05,126069.37,51118.59
T07,2025-05,116093.91,37633.73
T08,2025-05,143396.47,65550.04
T09,2025-05,117776.27,59392.72
T10,2025-05,105351.67,39648.81
T11,2025-05,95220.23,78436.41
T12,2025-05,100960.48,49332.05
T13,2025-05,110372.98,63664.22
T14,2025-05,110527.59,52598.31
T15,2025-05,108306.46,54472.18
T16,2025-05,116780.44,60929.84
T17,2025-05,98469.37,46704.91
T18,2025-05,109330.24,47150.51
T19,2025-05,123882.79,38934.13
T20,2025-05,120908.21,61870.16
T21,2025-05,102900.57,59089.76
T22,2025-05,61358.02,51689.78
T23,2025-05,133910.26,53776.82
T24,2025-05,114367.44,53112.35
T25,2025-05,92983.24,52666.37
T26,2025-05,121461.76,40922.18
T27,2025-05,151728.08,66891.35
T28,2025-05,78271.59,52560.02
T29,2025-05,108987.48,61463.26
T30,2025-05,108890.59,48771.82
T31,2025-05,116320.86,43358.35
T32,2025-05,101821.17,70573.63
T33,2025-05,73213.14,48760.0
T34,2025-05,77364.03,66608.0
T35,2025-05,87231.44,68080.0
T36,2025-05,93657.07,68632.0
T37,2025-05,101931.29,46736.0
T38,2025-05,59308.36,53544.0
T39,2025-05,102434.49,44620.0
T40,2025-05,83091.98,56580.0
T01,2025-06,135904.59,42498.06
T02,2025-06,153425.9,58043.32
T03,2025-06,108943.51,35870.69
T04,2025-06,127521.87,45097.09
T05,2025-06,115066.33,52144.97
T06,2025-06,140654.74,49702.31
T07,2025-06,105402.58,39102.77
T08,2025-06,137199.46,62046.86
T09,2025-06,108551.68,61750.03
T10,2025-06,102801.09,38231.23
T11,2025-06,93618.65,75862.87
T12,2025-06,120222.02,53960.66
T13,2025-06,112860.24,65063.03
T14,2025-06,100383.05,54948.17
T15,2025-06,113452.59,57188.78
T16,2025-06,101295.87,61738.48
T17,2025-06,94581.3,46922.96
T18,2025-06,116094.98,50741.6
T19,2025-06,118470.33,41485.38
T20,2025-06,114229.01,58029.89
T21,2025-06,108813.35,63868.88
T22,2025-06,72383.97,50569.57
T23,2025-06,115985.39,54015.71
T24,2025-06,108827.24,50907.69
T25,2025-06,87101.15,53049.68
T26,2025-06,120441.08,41480.12
T27,2025-06,145241.05,68552.46
T28,2025-06,74980.86,52216.47
T29,2025-06,103151.11,61367.54
T30,2025-06,115008.84,47650.72
T31,2025-06,126354.2,40872.68
T32,2025-06,95891.8,67224.13
T33,2025-06,71969.48,48760.0
T34,2025-06,79085.12,66608.0
T35,2025-06,94476.99,68080.0
T36,2025-06,85971.8,68632.0
T37,2025-06,92381.91,46736.0
T38,2025-06,70986.25,53544.0
T39,2025-06,111218.97,44620.0
T40,2025-06,86935.3,56580.0
T01,2025-07,130444.61,42282.41
T02,2025-07,156844.93,58346.78
T03,2025-07,113074.25,35195.36
T04,2025-07,109776.24,45985.04
T05,2025-07,120771.67,50640.26
T06,2025-07,127553.59,46670.15
T07,2025-07,127176.28,37876.98
T08,2025-07,139087.17,61980.44
T09,2025-07,118060.88,63072.84
T10,2025-07,103533.79,40737.49
T11,2025-07,101214.96,76683.7
T12,2025-07,115201.56,52329.41
T13,2025-07,105369.75,62510.84
T14,2025-07,109767.26,54421.93
T15,2025-07,103631.2,55100.81
T16,2025-07,100090.88,65150.06
T17,2025-07,95147.53,47107.41
T18,2025-07,114502.06,47613.15
T19,2025-07,116606.28,38466.11
T20,2025-07,116787.23,56422.66
T21,2025-07,102833.39,58854.83
T22,2025-07,75909.62,52281.7
T23,2025-07,129992.17,57361.71
T24,2025-07,110826.04,51370.14
T25,2025-07,88105.14,55752.65
T26,2025-07,109576.12,40603.77
T27,2025-07,149116.02,70320.16
T28,2025-07,78113.71,49848.57
T29,2025-07,100913.81,63532.39
T30,2025-07,111020.55,52320.74
T31,2025-07,115251.33,40264.16
T32,2025-07,102288.91,72057.26
T33,2025-07,74443.72,48760.0
T34,2025-07,71545.77,66608.0
T35,2025-07,84863.77,68080.0
T36,2025-07,97319.49,68632.0
T37,2025-07,88680.22,46736.0
T38,2025-07,65359.44,53544.0
T39,2025-07,94586.01,44620.0
T40,2025-07,87919.0,56580.0
T01,2025-08,142464.69,40356.62
T02,2025-08,155358.33,57603.1
T03,2025-08,110850.58,34454.68
T04,2025-08,123292.06,45492.19
T05,2025-08,131423.83,54837.83
T06,2025-08,130868.6,49519.77
T07,2025-08,111683.96,39042.93
T08,2025-08,145762.57,65526.33
T09,2025-08,117496.18,60149.88
T10,2025-08,104567.61,38311.92
T11,2025-08,99366.26,77635.33
T12,2025-08,106159.08,51135.96
T13,2025-08,99866.33,59682.02
T14,2025-08,110288.56,54720.99
T15,2025-08,93889.94,52579.75
T16,2025-08,103810.72,61172.92
T17,2025-08,95738.57,49605.24
T18,2025-08,119878.57,48981.95
T19,2025-08,124054.31,40179.04
T20,2025-08,111219.11,59174.16
T21,2025-08,101316.72,60828.58
T22,2025-08,76832.37,53821.37
T23,2025-08,129744.73,52446.06
T24,2025-08,111339.72,54338.08
T25,2025-08,83889.87,57374.79
T26,2025-08,117222.64,40078.02
T27,2025-08,142113.08,66872.13
T28,2025-08,81291.59,50295.06
T29,2025-08,97088.21,60952.29
T30,2025-08,105914.22,49143.82
T31,2025-08,121576.25,43382.96
T32,2025-08,91599.49,66709.37
T33,2025-08,67421.61,48760.0
T34,2025-08,74166.58,66608.0
T35,2025-08,80708.1,68080.0
T36,2025-08,87072.09,68632.0
T37,2025-08,107567.22,46736.0
T38,2025-08,68341.52,53544.0
T39,2025-08,89480.73,44620.0
T40,2025-08,86977.52,56580.0
T01,2025-09,143662.08,40332.12
T02,2025-09,158611.89,55543.79
T03,2025-09,111369.11,35752.71
T04,2025-09,122593.41,45010.49
T05,2025-09,123153.74,53592.55
T06,2025-09,138955.37,50140.77
T07,2025-09,108352.05,40263.2
T08,2025-09,134240.92,67477.22
T09,2025-09,119926.02,60280.95
T10,2025-09,97449.04,39534.83
T11,2025-09,101596.58,72185.11
T12,2025-09,114418.8,53144.05
T13,2025-09,106608.25,62983.98
T14,2025-09,102354.72,52919.58
T15,2025-09,120255.09,51943.85
T16,2025-09,99785.07,62646.5
T17,2025-09,93662.63,46775.73
T18,2025-09,110063.38,50921.4
T19,2025-09,123923.56,40082.63
T20,2025-09,111883.76,57849.02
T21,2025-09,100396.66,61820.5
T22,2025-09,75058.85,52926.04
T23,2025-09,142881.09,52752.3
T24,2025-09,105177.44,53690.05
T25,2025-09,85075.5,54869.14
T26,2025-09,113024.5,39368.07
T27,2025-09,133368.84,71408.14
T28,2025-09,79674.43,47952.58
T29,2025-09,103327.95,61866.92
T30,2025-09,128299.7,51840.26
T31,2025-09,130093.79,40055.92
T32,2025-09,94402.9,71717.33
T33,2025-09,76666.78,48760.0
T34,2025-09,72388.91,66608.0
T35,2025-09,94943.82,68080.0
T36,2025-09,103707.04,68632.0
T37,2025-09,91050.84,46736.0
T38,2025-09,64402.73,53544.0
T39,2025-09,89884.54,44620.0
T40,2025-09,90513.84,56580.0
T01,2025-10,134302.19,42442.66
T02,2025-10,151719.85,56613.03
T03,2025-10,114579.68,34237.97
T04,2025-10,116486.76,47861.53
T05,2025-10,114244.94,51765.08
T06,2025-10,151284.3,48666.63
T07,2025-10,117642.06,38088.34
T08,2025-10,130781.15,62726.83
T09,2025-10,119322.12,57527.9
T10,2025-10,101942.5,41227.05
T11,2025-10,92159.1,73236.25
T12,2025-10,115287.38,52274.56
T13,2025-10,100950.41,60726.63
T14,2025-10,112815.46,50748.22
T15,2025-10,112323.75,54483.48
T16,2025-10,107596.71,63583.77
T17,2025-10,94927.18,47669.04
T18,2025-10,102082.57,51758.54
T19,2025-10,130767.75,40722.2
T20,2025-10,111958.7,58688.52
T21,2025-10,104819.85,61542.47
T22,2025-10,62563.98,51172.94
T23,2025-10,146459.62,57386.29
T24,2025-10,122006.76,52451.35
T25,2025-10,82441.79,52977.92
T26,2025-10,125214.83,41274.86
T27,2025-10,139238.43,66620.84
T28,2025-10,89865.86,47907.96
T29,2025-10,111518.03,65229.26
T30,2025-10,118784.39,51285.23
T31,2025-10,137168.4,42386.77
T32,2025-10,98096.58,68382.82
T33,2025-10,69775.73,48760.0
T34,2025-10,71863.72,66608.0
T35,2025-10,82846.13,68080.0
T36,2025-10,93259.25,68632.0
T37,2025-10,107113.05,46736.0
T38,2025-10,67441.98,53544.0
T39,2025-10,89541.7,44620.0
T40,2025-10,96094.14,56580.0
T01,2025-11,127974.41,40444.01
T02,2025-11,149845.63,57306.56
T03,2025-11,111704.87,35004.56
T04,2025-11,123166.3,48716.71
T05,2025-11,115789.51,55651.79
T06,2025-11,136948.99,46689.43
T07,2025-11,117822.63,37891.46
T08,2025-11,141531.83,62655.11
T09,2025-11,123212.88,62948.42
T10,2025-11,102288.61,37885.81
T11,2025-11,91961.33,74909.47
T12,2025-11,116732.48,50222.77
T13,2025-11,109739.62,60406.97
T14,2025-11,115845.26,54828.97
T15,2025-11,110073.32,51965.97
T16,2025-11,105439.27,60350.95
T17,2025-11,92864.22,48664.04
T18,2025-11,114912.15,47518.07
T19,2025-11,121375.32,38621.89
T20,2025-11,113260.18,60495.08
T21,2025-11,105391.68,60760.85
T22,2025-11,77043.8,51699.42
T23,2025-11,136118.7,55241.85
T24,2025-11,110662.16,53809.27
T25,2025-11,90842.31,52874.13
T26,2025-11,126297.91,38411.47
T27,2025-11,143362.63,72073.35
T28,2025-11,82713.83,48137.5
T29,2025-11,104570.01,65466.44
T30,2025-11,127741.5,48927.92
T31,2025-11,115754.47,41937.53
T32,2025-11,91565.02,70672.73
T33,2025-11,61062.91,48760.0
T34,2025-11,74441.25,66608.0
T35,2025-11,91053.14,68080.0
T36,2025-11,98002.13,68632.0
T37,2025-11,106589.25,46736.0
T38,2025-11,70369.06,53544.0
T39,2025-11,99121.67,44620.0
T40,2025-11,91895.79,56580.0
T01,2025-12,142918.82,41922.26
T02,2025-12,151707.34,60277.46
T03,2025-12,112728.85,36282.82
T04,2025-12,119358.53,45527.38
T05,2025-12,124980.15,54535.33
T06,2025-12,144936.41,48983.92
T07,2025-12,115384.28,39035.54
T08,2025-12,138387.56,62028.14
T09,2025-12,111493.24,59829.83
T10,2025-12,107160.65,38125.3
T11,2025-12,97094.33,74085.31
T12,2025-12,111293.39,50292.63
T13,2025-12,109746.07,64679.35
T14,2025-12,111361.0,53875.69
T15,2025-12,110254.55,53774.63
T16,2025-12,110989.58,63771.26
T17,2025-12,93609.43,46865.55
T18,2025-12,118667.93,49775.49
T19,2025-12,110903.53,41713.68
T20,2025-12,116596.85,58478.86
T21,2025-12,111688.97,60816.31
T22,2025-12,62971.55,50875.09
T23,2025-12,132338.77,54299.46
T24,2025-12,111503.58,49530.61
T25,2025-12,85629.1,57776.54
T26,2025-12,112484.86,39787.78
T27,2025-12,136077.4,68899.25
T28,2025-12,80320.88,51169.58
T29,2025-12,107473.15,65793.29
T30,2025-12,110380.63,47521.39
T31,2025-12,115880.78,42462.06
T32,2025-12,99718.05,72278.79
T33,2025-12,72522.38,48760.0
T34,2025-12,72989.93,66608.0
T35,2025-12,96325.28,68080.0
T36,2025-12,99881.13,68632.0
T37,2025-12,107330.88,46736.0
T38,2025-12,69672.87,53544.0
T39,2025-12,95492.19,44620.0
T40,2025-12,87819.5,56580.0
