hcp_id,month_id,brand,nrx,trx
H048,2025-01,Competitor_B,5,17
H049,2025-01,Apexacare,10,51
H049,2025-01,Competitor_A,4,22
H049,2025-01,Competitor_B,6,23
H050,2025-01,Apexacare,12,47
H050,2025-01,Competitor_A,9,37
H050,2025-01,Competitor_B,11,36
H051,2025-01,Apexacare,24,88
H051,2025-01,Competitor_A,10,37
H051,2025-01,Competitor_B,11,37
H052,2025-01,Apexacare,4,19
H052,2025-01,Competitor_A,4,17
H052,2025-01,Competitor_B,5,18
H053,2025-01,Apexacare,9,42
H053,2025-01,Competitor_A,7,34
H053,2025-01,Competitor_B,7,24
H054,2025-01,Apexacare,8,37
H054,2025-01,Competitor_A,8,36
H054,2025-01,Competitor_B,8,29
H055,2025-01,Apexacare,16,55
H055,2025-01,Competitor_A,8,29
H055,2025-01,Competitor_B,7,21
H056,2025-01,Apexacare,14,58
H056,2025-01,Competitor_A,17,71
H056,2025-01,Competitor_B,14,51
H057,2025-01,Apexacare,10,45
H057,2025-01,Competitor_A,5,24
H057,2025-01,Competitor_B,7,26
H058,2025-01,Apexacare,13,53
H058,2025-01,Competitor_A,10,39
H058,2025-01,Competitor_B,11,41
H059,2025-01,Apexacare,8,39
H059,2025-01,Competitor_A,6,30
H059,2025-01,Competitor_B,7,27
H060,2025-01,Apexacare,23,79
H060,2025-01,Competitor_A,22,76
H060,2025-01,Competitor_B,20,65
H061,2025-01,Apexacare,10,53
H061,2025-01,Competitor_A,14,72
H061,2025-01,Competitor_B,12,55
H062,2025-01,Apexacare,5,25
H062,2025-01,Competitor_A,3,17
H062,2025-01,Competitor_B,5,18
H063,2025-01,Apexacare,3,14
H063,2025-01,Competitor_A,4,16
H063,2025-01,Competitor_B,5,15
H064,2025-01,Apexacare,26,88
H064,2025-01,Competitor_A,11,38
H064,2025-01,Competitor_B,10,34
H065,2025-01,Apexacare,19,72
H065,2025-01,Competitor_A,15,56
H065,2025-01,Competitor_B,14,52
H066,2025-01,Apexacare,12,56
H066,2025-01,Competitor_A,11,52
H066,2025-01,Competitor_B,12,54
H067,2025-01,Apexacare,7,25
H067,2025-01,Competitor_A,8,30
H067,2025-01,Competitor_B,9,29
H068,2025-01,Apexacare,3,13
H068,2025-01,Competitor_A,3,15
H068,2025-01,Competitor_B,4,12
H069,2025-01,Apexacare,12,47
H069,2025-01,Competitor_A,16,61
H069,2025-01,Competitor_B,14,45
H070,2025-01,Apexacare,15,73
H070,2025-01,Competitor_A,7,34
H070,2025-01,Competitor_B,7,29
H071,2025-01,Apexacare,8,41
H071,2025-01,Competitor_A,7,35
H071,2025-01,Competitor_B,7,34
H072,2025-01,Apexacare,4,22
H072,2025-01,Competitor_A,4,21
H072,2025-01,Competitor_B,4,17
H073,2025-01,Apexacare,6,27
H073,2025-01,Competitor_A,2,10
H073,2025-01,Competitor_B,3,11
H074,2025-01,Apexacare,16,67
H074,2025-01,Competitor_A,10,41
H074,2025-01,Competitor_B,10,36
H075,2025-01,Apexacare,6,21
H075,2025-01,Competitor_A,9,33
H075,2025-01,Competitor_B,9,30
H076,2025-01,Apexacare,6,25
H076,2025-01,Competitor_A,10,41
H076,2025-01,Competitor_B,10,34
H077,2025-01,Apexacare,9,35
H077,2025-01,Competitor_A,12,50
H077,2025-01,Competitor_B,10,35
H078,2025-01,Apexacare,1,7
H078,2025-01,Competitor_A,3,17
H078,2025-01,Competitor_B,3,14
H079,2025-01,Apexacare,3,18
H079,2025-01,Competitor_A,3,16
H079,2025-01,Competitor_B,3,14
H080,2025-01,Apexacare,9,48
H080,2025-01,Competitor_A,6,33
H080,2025-01,Competitor_B,7,31
H081,2025-01,Apexacare,14,55
H081,2025-01,Competitor_A,8,34
H081,2025-01,Competitor_B,9,31
H082,2025-01,Apexacare,13,59
H082,2025-01,Competitor_A,14,63
H082,2025-01,Competitor_B,14,58
H083,2025-01,Apexacare,23,88
H083,2025-01,Competitor_A,12,45
H083,2025-01,Competitor_B,11,38
H084,2025-01,Apexacare,1,5
H084,2025-01,Competitor_A,1,5
H084,2025-01,Competitor_B,1,5
H085,2025-01,Apexacare,14,55
H085,2025-01,Competitor_A,11,43
H085,2025-01,Competitor_B,10,34
H086,2025-01,Apexacare,5,18
H086,2025-01,Competitor_A,13,47
H086,2025-01,Competitor_B,12,40
H087,2025-01,Apexacare,10,48
H087,2025-01,Competitor_A,12,60
H087,2025-01,Competitor_B,14,60
H088,2025-01,Apexacare,13,49
H088,2025-01,Competitor_A,7,29
H088,2025-01,Competitor_B,7,24
H089,2025-01,Apexacare,14,50
H089,2025-01,Competitor_A,13,47
H089,2025-01,Competitor_B,15,47
H090,2025-01,Apexacare,13,55
H090,2025-01,Competitor_A,10,43
H090,2025-01,Competitor_B,12,42
H091,2025-01,Apexacare,18,66
H091,2025-01,Competitor_A,10,36
H091,2025-01,Competitor_B,10,33
H092,2025-01,Apexacare,10,44
H092,2025-01,Competitor_A,10,45
H092,2025-01,Competitor_B,9,37
H093,2025-01,Apexacare,8,41
H093,2025-01,Competitor_A,7,37
H093,2025-01,Competitor_B,6,27
H094,2025-01,Apexacare,4,17
H094,2025-01,Competitor_A,4,15
H094,2025-01,Competitor_B,5,16
H095,2025-01,Apexacare,18,66
H095,2025-01,Competitor_A,17,62
H095,2025-01,Competitor_B,17,61
H096,2025-01,Apexacare,4,17
H096,2025-01,Competitor_A,7,33
H096,2025-01,Competitor_B,7,30
H097,2025-01,Apexacare,0,4
H097,2025-01,Competitor_A,1,6
H097,2025-01,Competitor_B,2,6
H098,2025-01,Apexacare,9,37
H098,2025-01,Competitor_A,10,38
H098,2025-01,Competitor_B,11,39
H099,2025-01,Apexacare,10,47
H099,2025-01,Competitor_A,8,42
H099,2025-01,Competitor_B,7,30
H100,2025-01,Apexacare,10,43
H100,2025-01,Competitor_A,7,32
H100,2025-01,Competitor_B,7,27
H101,2025-01,Apexacare,12,44
H101,2025-01,Competitor_A,9,34
H101,2025-01,Competitor_B,8,24
H102,2025-01,Apexacare,13,53
H102,2025-01,Competitor_A,17,71
H102,2025-01,Competitor_B,13,52
H103,2025-01,Apexacare,6,22
H103,2025-01,Competitor_A,2,9
H103,2025-01,Competitor_B,4,11
H104,2025-01,Apexacare,10,43
H104,2025-01,Competitor_A,10,44
H104,2025-01,Competitor_B,9,39
H105,2025-01,Apexacare,23,83
H105,2025-01,Competitor_A,14,50
H105,2025-01,Competitor_B,12,43
H106,2025-01,Apexacare,4,22
H106,2025-01,Competitor_A,9,45
H106,2025-01,Competitor_B,11,45
H107,2025-01,Apexacare,5,21
H107,2025-01,Competitor_A,4,17
H107,2025-01,Competitor_B,3,13
H108,2025-01,Apexacare,11,39
H108,2025-01,Competitor_A,6,22
H108,2025-01,Competitor_B,6,19
H109,2025-01,Apexacare,18,67
H109,2025-01,Competitor_A,15,56
H109,2025-01,Competitor_B,13,45
H110,2025-01,Apexacare,8,35
H110,2025-01,Competitor_A,6,25
H110,2025-01,Competitor_B,6,25
H111,2025-01,Apexacare,22,81
H111,2025-01,Competitor_A,10,37
H111,2025-01,Competitor_B,8,29
H112,2025-01,Apexacare,6,30
H112,2025-01,Competitor_A,3,18
H112,2025-01,Competitor_B,5,20
H113,2025-01,Apexacare,0,5
H113,2025-01,Competitor_A,1,5
H113,2025-01,Competitor_B,2,6
H114,2025-01,Apexacare,11,42
H114,2025-01,Competitor_A,10,39
H114,2025-01,Competitor_B,11,39
H115,2025-01,Apexacare,9,36
H115,2025-01,Competitor_A,10,37
H115,2025-01,Competitor_B,9,29
H116,2025-01,Apexacare,14,53
H116,2025-01,Competitor_A,15,55
H116,2025-01,Competitor_B,15,52
H117,2025-01,Apexacare,2,11
H117,2025-01,Competitor_A,3,16
H117,2025-01,Competitor_B,4,17
H118,2025-01,Apexacare,24,83
H118,2025-01,Competitor_A,10,35
H118,2025-01,Competitor_B,10,34
H119,2025-01,Apexacare,12,52
H119,2025-01,Competitor_A,10,44
H119,2025-01,Competitor_B,9,40
H120,2025-01,Apexacare,7,36
H120,2025-01,Competitor_A,13,69
H120,2025-01,Competitor_B,14,65
H121,2025-01,Apexacare,12,54
H121,2025-01,Competitor_A,14,64
H121,2025-01,Competitor_B,13,52
H122,2025-01,Apexacare,12,62
H122,2025-01,Competitor_A,9,49
H122,2025-01,Competitor_B,9,43
H123,2025-01,Apexacare,15,53
H123,2025-01,Competitor_A,12,43
H123,2025-01,Competitor_B,10,36
H124,2025-01,Apexacare,4,18
H124,2025-01,Competitor_A,9,41
H124,2025-01,Competitor_B,8,31
H125,2025-01,Apexacare,13,60
H125,2025-01,Competitor_A,14,62
H125,2025-01,Competitor_B,11,46
H126,2025-01,Apexacare,8,30
H126,2025-01,Competitor_A,7,26
H126,2025-01,Competitor_B,7,20
H127,2025-01,Apexacare,19,72
H127,2025-01,Competitor_A,10,37
H127,2025-01,Competitor_B,9,31
H128,2025-01,Apexacare,4,17
H128,2025-01,Competitor_A,6,26
H128,2025-01,Competitor_B,5,21
H129,2025-01,Apexacare,10,52
H129,2025-01,Competitor_A,6,32
H129,2025-01,Competitor_B,6,28
H130,2025-01,Apexacare,13,52
H130,2025-01,Competitor_A,6,25
H130,2025-01,Competitor_B,6,23
H131,2025-01,Apexacare,3,12
H131,2025-01,Competitor_A,3,14
H131,2025-01,Competitor_B,5,14
H132,2025-01,Apexacare,11,53
H132,2025-01,Competitor_A,5,23
H132,2025-01,Competitor_B,5,19
H133,2025-01,Apexacare,12,44
H133,2025-01,Competitor_A,5,20
H133,2025-01,Competitor_B,6,20
H134,2025-01,Apexacare,7,33
H134,2025-01,Competitor_A,6,31
H134,2025-01,Competitor_B,7,31
H135,2025-01,Apexacare,1,8
H135,2025-01,Competitor_A,2,13
H135,2025-01,Competitor_B,4,11
H136,2025-01,Apexacare,7,34
H136,2025-01,Competitor_A,6,28
H136,2025-01,Competitor_B,7,28
H137,2025-01,Apexacare,19,72
H137,2025-01,Competitor_A,18,68
H137,2025-01,Competitor_B,14,49
H138,2025-01,Apexacare,20,90
H138,2025-01,Competitor_A,11,51
H138,2025-01,Competitor_B,10,39
H139,2025-01,Apexacare,7,37
H139,2025-01,Competitor_A,7,38
H139,2025-01,Competitor_B,8,33
H140,2025-01,Apexacare,5,18
H140,2025-01,Competitor_A,8,27
H140,2025-01,Competitor_B,7,23
H141,2025-01,Apexacare,16,75
H141,2025-01,Competitor_A,14,65
H141,2025-01,Competitor_B,11,49
H142,2025-01,Apexacare,7,25
H142,2025-01,Competitor_A,12,43
H142,2025-01,Competitor_B,11,34
H143,2025-01,Apexacare,7,30
H143,2025-01,Competitor_A,17,67
H143,2025-01,Competitor_B,13,47
H144,2025-01,Apexacare,8,36
H144,2025-01,Competitor_A,9,41
H144,2025-01,Competitor_B,8,37
H145,2025-01,Apexacare,2,9
H145,2025-01,Competitor_A,1,6
H145,2025-01,Competitor_B,2,7
H146,2025-01,Apexacare,13,48
H146,2025-01,Competitor_A,9,34
H146,2025-01,Competitor_B,9,30
H147,2025-01,Apexacare,4,21
H147,2025-01,Competitor_A,2,12
H147,2025-01,Competitor_B,4,12
H148,2025-01,Apexacare,6,23
H148,2025-01,Competitor_A,4,16
H148,2025-01,Competitor_B,5,15
H149,2025-01,Apexacare,1,6
H149,2025-01,Competitor_A,1,5
H149,2025-01,Competitor_B,1,6
H150,2025-01,Apexacare,8,34
H150,2025-01,Competitor_A,7,31
H150,2025-01,Competitor_B,6,25
H151,2025-01,Apexacare,16,78
H151,2025-01,Competitor_A,7,34
H151,2025-01,Competitor_B,7,28
H152,2025-01,Apexacare,12,49
H152,2025-01,Competitor_A,6,24
H152,2025-01,Competitor_B,6,23
H153,2025-01,Apexacare,12,57
H153,2025-01,Competitor_A,5,27
H153,2025-01,Competitor_B,6,21
H154,2025-01,Apexacare,12,59
H154,2025-01,Competitor_A,5,25
H154,2025-01,Competitor_B,5,21
H155,2025-01,Apexacare,10,40
H155,2025-01,Competitor_A,9,36
H155,2025-01,Competitor_B,9,29
H156,2025-01,Apexacare,11,47
H156,2025-01,Competitor_A,14,60
H156,2025-01,Competitor_B,11,45
H157,2025-01,Apexacare,4,17
H157,2025-01,Competitor_A,2,11
H157,2025-01,Competitor_B,4,10
H158,2025-01,Apexacare,10,41
H158,2025-01,Competitor_A,7,29
H158,2025-01,Competitor_B,8,26
H159,2025-01,Apexacare,11,41
H159,2025-01,Competitor_A,9,37
H159,2025-01,Competitor_B,8,27
H160,2025-01,Apexacare,13,51
H160,2025-01,Competitor_A,11,43
H160,2025-01,Competitor_B,10,39
H161,2025-01,Apexacare,18,67
H161,2025-01,Competitor_A,15,56
H161,2025-01,Competitor_B,15,48
H162,2025-01,Apexacare,2,11
H162,2025-01,Competitor_A,1,5
H162,2025-01,Competitor_B,2,5
H163,2025-01,Apexacare,9,35
H163,2025-01,Competitor_A,4,15
H163,2025-01,Competitor_B,4,13
H164,2025-01,Apexacare,8,43
H164,2025-01,Competitor_A,7,35
H164,2025-01,Competitor_B,8,36
H165,2025-01,Apexacare,11,51
H165,2025-01,Competitor_A,8,35
H165,2025-01,Competitor_B,6,26
H166,2025-01,Apexacare,6,23
H166,2025-01,Competitor_A,6,23
H166,2025-01,Competitor_B,7,20
H167,2025-01,Apexacare,9,34
H167,2025-01,Competitor_A,19,69
H167,2025-01,Competitor_B,18,57
H168,2025-01,Apexacare,23,92
H168,2025-01,Competitor_A,12,49
H168,2025-01,Competitor_B,9,35
H169,2025-01,Apexacare,2,10
H169,2025-01,Competitor_A,3,17
H169,2025-01,Competitor_B,3,15
H170,2025-01,Apexacare,10,42
H170,2025-01,Competitor_A,4,18
H170,2025-01,Competitor_B,5,20
H171,2025-01,Apexacare,10,47
H171,2025-01,Competitor_A,15,69
H171,2025-01,Competitor_B,13,54
H172,2025-01,Apexacare,18,65
H172,2025-01,Competitor_A,14,49
H172,2025-01,Competitor_B,12,40
H173,2025-01,Apexacare,13,46
H173,2025-01,Competitor_A,12,43
H173,2025-01,Competitor_B,10,31
H174,2025-01,Apexacare,11,53
H174,2025-01,Competitor_A,6,30
H174,2025-01,Competitor_B,6,22
H175,2025-01,Apexacare,14,53
H175,2025-01,Competitor_A,14,53
H175,2025-01,Competitor_B,13,48
H176,2025-01,Apexacare,10,49
H176,2025-01,Competitor_A,9,43
H176,2025-01,Competitor_B,8,36
H177,2025-01,Apexacare,1,6
H177,2025-01,Competitor_A,1,6
H177,2025-01,Competitor_B,2,6
H178,2025-01,Apexacare,11,44
H178,2025-01,Competitor_A,12,47
H178,2025-01,Competitor_B,9,35
H179,2025-01,Apexacare,16,62
H179,2025-01,Competitor_A,7,27
H179,2025-01,Competitor_B,7,23
H180,2025-01,Apexacare,11,40
H180,2025-01,Competitor_A,9,34
H180,2025-01,Competitor_B,10,34
H181,2025-01,Apexacare,14,50
H181,2025-01,Competitor_A,11,42
H181,2025-01,Competitor_B,10,34
H182,2025-01,Apexacare,12,47
H182,2025-01,Competitor_A,12,48
H182,2025-01,Competitor_B,12,40
H183,2025-01,Apexacare,6,23
H183,2025-01,Competitor_A,5,20
H183,2025-01,Competitor_B,6,17
H184,2025-01,Apexacare,14,65
H184,2025-01,Competitor_A,5,24
H184,2025-01,Competitor_B,6,25
H185,2025-01,Apexacare,8,37
H185,2025-01,Competitor_A,9,41
H185,2025-01,Competitor_B,11,41
H186,2025-01,Apexacare,10,40
H186,2025-01,Competitor_A,8,32
H186,2025-01,Competitor_B,9,30
H187,2025-01,Apexacare,5,25
H187,2025-01,Competitor_A,11,53
H187,2025-01,Competitor_B,10,41
H188,2025-01,Apexacare,7,30
H188,2025-01,Competitor_A,6,24
H188,2025-01,Competitor_B,7,22
H189,2025-01,Apexacare,6,23
H189,2025-01,Competitor_A,9,34
H189,2025-01,Competitor_B,8,27
H190,2025-01,Apexacare,14,51
H190,2025-01,Competitor_A,16,57
H190,2025-01,Competitor_B,14,44
H191,2025-01,Apexacare,9,37
H191,2025-01,Competitor_A,11,45
H191,2025-01,Competitor_B,12,44
H192,2025-01,Apexacare,9,40
H192,2025-01,Competitor_A,10,45
H192,2025-01,Competitor_B,11,41
H193,2025-01,Apexacare,7,35
H193,2025-01,Competitor_A,10,47
H193,2025-01,Competitor_B,10,44
H194,2025-01,Apexacare,5,26
H194,2025-01,Competitor_A,3,18
H194,2025-01,Competitor_B,5,16
H195,2025-01,Apexacare,11,38
H195,2025-01,Competitor_A,13,45
H195,2025-01,Competitor_B,13,43
H196,2025-01,Apexacare,12,41
H196,2025-01,Competitor_A,10,34
H196,2025-01,Competitor_B,8,27
H197,2025-01,Apexacare,5,22
H197,2025-01,Competitor_A,4,18
H197,2025-01,Competitor_B,6,17
H198,2025-01,Apexacare,11,40
H198,2025-01,Competitor_A,5,18
H198,2025-01,Competitor_B,5,17
H199,2025-01,Apexacare,3,11
H199,2025-01,Competitor_A,7,26
H199,2025-01,Competitor_B,7,23
H200,2025-01,Apexacare,18,63
H200,2025-01,Competitor_A,14,50
H200,2025-01,Competitor_B,13,41
H201,2025-01,Apexacare,1,6
H201,2025-01,Competitor_A,1,8
H201,2025-01,Competitor_B,2,6
H202,2025-01,Apexacare,10,42
H202,2025-01,Competitor_A,8,35
H202,2025-01,Competitor_B,9,33
H203,2025-01,Apexacare,17,65
H203,2025-01,Competitor_A,10,39
H203,2025-01,Competitor_B,11,36
H204,2025-01,Apexacare,11,41
H204,2025-01,Competitor_A,7,28
H204,2025-01,Competitor_B,8,27
H205,2025-01,Apexacare,15,66
H205,2025-01,Competitor_A,9,39
H205,2025-01,Competitor_B,10,39
H206,2025-01,Apexacare,10,40
H206,2025-01,Competitor_A,10,40
H206,2025-01,Competitor_B,10,32
H207,2025-01,Apexacare,6,27
H207,2025-01,Competitor_A,6,26
H207,2025-01,Competitor_B,6,19
H208,2025-01,Apexacare,5,24
H208,2025-01,Competitor_A,2,10
H208,2025-01,Competitor_B,4,11
H209,2025-01,Apexacare,12,49
H209,2025-01,Competitor_A,5,23
H209,2025-01,Competitor_B,6,18
H210,2025-01,Apexacare,4,16
H210,2025-01,Competitor_A,4,16
H210,2025-01,Competitor_B,4,13
H211,2025-01,Apexacare,18,69
H211,2025-01,Competitor_A,9,33
H211,2025-01,Competitor_B,7,24
H212,2025-01,Apexacare,13,51
H212,2025-01,Competitor_A,15,59
H212,2025-01,Competitor_B,15,60
H213,2025-01,Apexacare,8,28
H213,2025-01,Competitor_A,7,27
H213,2025-01,Competitor_B,7,21
H214,2025-01,Apexacare,6,26
H214,2025-01,Competitor_A,2,10
H214,2025-01,Competitor_B,4,12
H215,2025-01,Apexacare,7,27
H215,2025-01,Competitor_A,5,19
H215,2025-01,Competitor_B,5,17
H216,2025-01,Apexacare,14,50
H216,2025-01,Competitor_A,6,23
H216,2025-01,Competitor_B,5,17
H217,2025-01,Apexacare,4,22
H217,2025-01,Competitor_A,2,10
H217,2025-01,Competitor_B,3,10
H218,2025-01,Apexacare,19,70
H218,2025-01,Competitor_A,12,43
H218,2025-01,Competitor_B,12,40
H219,2025-01,Apexacare,14,48
H219,2025-01,Competitor_A,17,59
H219,2025-01,Competitor_B,16,53
H220,2025-01,Apexacare,1,7
H220,2025-01,Competitor_A,0,5
H220,2025-01,Competitor_B,2,6
H221,2025-01,Apexacare,8,44
H221,2025-01,Competitor_A,8,44
H221,2025-01,Competitor_B,8,32
H222,2025-01,Apexacare,30,104
H222,2025-01,Competitor_A,18,62
H222,2025-01,Competitor_B,17,54
H223,2025-01,Apexacare,14,63
H223,2025-01,Competitor_A,11,50
H223,2025-01,Competitor_B,9,40
H224,2025-01,Apexacare,4,19
H224,2025-01,Competitor_A,1,8
H224,2025-01,Competitor_B,3,9
H225,2025-01,Apexacare,10,42
H225,2025-01,Competitor_A,11,45
H225,2025-01,Competitor_B,8,32
H226,2025-01,Apexacare,4,19
H226,2025-01,Competitor_A,4,18
H226,2025-01,Competitor_B,4,14
H227,2025-01,Apexacare,8,37
H227,2025-01,Competitor_A,11,55
H227,2025-01,Competitor_B,12,52
H228,2025-01,Apexacare,13,50
H228,2025-01,Competitor_A,5,20
H228,2025-01,Competitor_B,6,18
H229,2025-01,Apexacare,6,26
H229,2025-01,Competitor_A,6,27
H229,2025-01,Competitor_B,8,27
H230,2025-01,Apexacare,16,57
H230,2025-01,Competitor_A,14,50
H230,2025-01,Competitor_B,15,47
H231,2025-01,Apexacare,5,27
H231,2025-01,Competitor_A,8,41
H231,2025-01,Competitor_B,7,32
H232,2025-01,Apexacare,11,53
H232,2025-01,Competitor_A,11,55
H232,2025-01,Competitor_B,10,46
H233,2025-01,Apexacare,9,35
H233,2025-01,Competitor_A,8,30
H233,2025-01,Competitor_B,7,25
H234,2025-01,Apexacare,30,105
H234,2025-01,Competitor_A,18,62
H234,2025-01,Competitor_B,15,53
H235,2025-01,Apexacare,20,89
H235,2025-01,Competitor_A,10,44
H235,2025-01,Competitor_B,10,43
H236,2025-01,Apexacare,6,23
H236,2025-01,Competitor_A,5,19
H236,2025-01,Competitor_B,6,18
H237,2025-01,Apexacare,10,45
H237,2025-01,Competitor_A,4,19
H237,2025-01,Competitor_B,5,16
H238,2025-01,Apexacare,3,14
H238,2025-01,Competitor_A,6,25
H238,2025-01,Competitor_B,8,24
H239,2025-01,Apexacare,13,60
H239,2025-01,Competitor_A,10,45
H239,2025-01,Competitor_B,9,35
H240,2025-01,Apexacare,1,6
H240,2025-01,Competitor_A,1,5
H240,2025-01,Competitor_B,1,4
H241,2025-01,Apexacare,5,21
H241,2025-01,Competitor_A,5,19
H241,2025-01,Competitor_B,7,20
H242,2025-01,Apexacare,2,11
H242,2025-01,Competitor_A,1,10
H242,2025-01,Competitor_B,3,11
H243,2025-01,Apexacare,7,26
H243,2025-01,Competitor_A,4,17
H243,2025-01,Competitor_B,6,17
H244,2025-01,Apexacare,15,53
H244,2025-01,Competitor_A,11,39
H244,2025-01,Competitor_B,12,41
H245,2025-01,Apexacare,4,17
H245,2025-01,Competitor_A,5,19
H245,2025-01,Competitor_B,5,15
H246,2025-01,Apexacare,5,27
H246,2025-01,Competitor_A,3,18
H246,2025-01,Competitor_B,5,19
H247,2025-01,Apexacare,9,34
H247,2025-01,Competitor_A,4,14
H247,2025-01,Competitor_B,4,12
H248,2025-01,Apexacare,7,33
H248,2025-01,Competitor_A,3,16
H248,2025-01,Competitor_B,5,14
H249,2025-01,Apexacare,16,57
H249,2025-01,Competitor_A,13,46
H249,2025-01,Competitor_B,10,33
