call_id,rep_id,hcp_id,call_date,planned_vs_actual,call_status,call_type,brand_promoted,month_id
C000200,R03,H042,2025-01-10,Planned,Completed,In-Person,Apexacare,2025-01
C000201,R03,H048,2025-01-27,Planned,Completed,In-Person,Apexacare,2025-01
C000202,R03,H039,2025-01-11,Planned,Completed,In-Person,Apexacare,2025-01
C000203,R03,H045,2025-01-27,Planned,Completed,Virtual,None,2025-01
C000204,R03,H041,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000205,R03,H044,2025-01-23,Planned,Completed,In-Person,Apexacare,2025-01
C000206,R03,H045,2025-01-31,Planned,,In-Person,Apexacare,2025-01
C000207,R03,H040,2025-01-24,Planned,Cancelled,Phone,None,2025-01
C000208,R03,H044,2025-01-26,Planned,Completed,In-Person,Apexacare,2025-01
C000209,R03,H039,2025-01-27,Planned,,Virtual,Apexacare,2025-01
C000210,R03,H036,2025-01-30,Planned,Completed,In-Person,Apexacare,2025-01
C000211,R03,H042,2025-01-18,Planned,No Show,In-Person,None,2025-01
C000212,R03,H036,2025-01-18,Planned,No Show,Phone,None,2025-01
C000213,R03,H048,2025-01-28,Unplanned,Completed,In-Person,Apexacare,2025-01
C000214,R03,H037,2025-01-26,Unplanned,Completed,In-Person,Apexacare,2025-01
C000215,R03,H045,2025-01-26,Unplanned,Completed,In-Person,Apexacare,2025-01
C000216,R03,H046,2025-01-14,Unplanned,Completed,In-Person,Apexacare,2025-01
C000217,R03,H035,2025-01-22,Unplanned,Completed,In-Person,Apexacare,2025-01
C000218,R04,H058,2025-01-27,Planned,Completed,In-Person,Apexacare,2025-01
C000219,R04,H052,2025-01-12,Planned,No Show,In-Person,None,2025-01
C000220,R04,H058,2025-01-07,Planned,Completed,Virtual,None,2025-01
C000221,R04,H059,2025-01-17,Planned,Cancelled,In-Person,None,2025-01
C000222,R04,H060,2025-01-16,Planned,Completed,In-Person,Apexacare,2025-01
C000223,R04,H050,2025-01-16,Planned,Completed,In-Person,Apexacare,2025-01
C000224,R04,H063,2025-01-26,Planned,No Show,In-Person,None,2025-01
C000225,R04,H056,2025-01-09,Planned,Completed,In-Person,Apexacare,2025-01
C000226,R04,H055,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000227,R04,H056,2025-01-25,Planned,Cancelled,In-Person,None,2025-01
C000228,R04,H062,2025-01-04,Planned,No Show,In-Person,None,2025-01
C000229,R04,H059,2025-01-18,Planned,Completed,Virtual,Apexacare,2025-01
C000230,R04,H057,2025-01-27,Planned,Completed,Virtual,Apexacare,2025-01
C000231,R04,H060,2025-01-15,Planned,Completed,In-Person,None,2025-01
C000232,R04,H054,2025-01-04,Planned,No Show,In-Person,None,2025-01
C000233,R04,H062,2025-01-02,Planned,Completed,In-Person,Apexacare,2025-01
C000234,R04,H057,2025-01-27,Planned,Completed,In-Person,None,2025-01
C000235,R04,H058,2025-01-04,Planned,Completed,Virtual,Apexacare,2025-01
C000236,R04,H050,2025-01-26,Planned,Completed,Virtual,Apexacare,2025-01
C000237,R04,H060,2025-01-28,Planned,Completed,Virtual,Apexacare,2025-01
C000238,R04,H058,2025-01-06,Planned,,In-Person,Apexacare,2025-01
C000239,R04,H054,2025-01-27,Planned,Completed,In-Person,Apexacare,2025-01
C000240,R04,H058,2025-01-12,Planned,Completed,In-Person,Apexacare,2025-01
C000241,R04,H049,2025-01-06,Planned,Completed,In-Person,Apexacare,2025-01
C000242,R04,H063,2025-01-10,Planned,Completed,In-Person,None,2025-01
C000243,R04,H059,2025-01-17,Planned,Completed,Phone,Apexacare,2025-01
C000244,R04,H054,2025-01-04,Planned,Completed,In-Person,Apexacare,2025-01
C000245,R04,H060,2025-01-14,Planned,,Phone,None,2025-01
C000246,R04,H063,2025-01-28,Planned,Completed,In-Person,Apexacare,2025-01
C000247,R04,H055,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000248,R04,H049,2025-01-27,Planned,No Show,Virtual,None,2025-01
C000249,R04,H052,2025-01-22,Planned,Completed,In-Person,Apexacare,2025-01
C000250,R04,H056,2025-01-21,Planned,Cancelled,In-Person,None,2025-01
C000251,R04,H056,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000252,R04,H057,2025-01-29,Planned,Completed,Virtual,Apexacare,2025-01
C000253,R04,H057,2025-01-24,Planned,Completed,In-Person,None,2025-01
C000254,R04,H055,2025-01-12,Planned,Completed,In-Person,Apexacare,2025-01
C000255,R04,H054,2025-01-19,Planned,Completed,In-Person,Apexacare,2025-01
C000256,R04,H060,2025-01-24,Planned,Completed,In-Person,None,2025-01
C000257,R04,H057,2025-01-21,Planned,Completed,In-Person,Apexacare,2025-01
C000258,R04,H056,2025-01-03,Planned,Completed,Virtual,Apexacare,2025-01
C000259,R04,H054,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000260,R04,H049,2025-01-09,Planned,Completed,In-Person,Apexacare,2025-01
C000261,R04,H050,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000262,R04,H055,2025-01-16,Planned,Completed,Virtual,None,2025-01
C000263,R04,H063,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000264,R04,H050,2025-01-26,Planned,Completed,Virtual,Apexacare,2025-01
C000265,R04,H063,2025-01-30,Planned,Completed,Virtual,Apexacare,2025-01
C000266,R04,H051,2025-01-01,Planned,Completed,Phone,Apexacare,2025-01
C000267,R04,H053,2025-01-23,Planned,Completed,Phone,None,2025-01
C000268,R04,H055,2025-01-10,Planned,Completed,In-Person,None,2025-01
C000269,R04,H052,2025-01-09,Planned,Completed,In-Person,Apexacare,2025-01
C000270,R04,H056,2025-01-03,Planned,Completed,In-Person,None,2025-01
C000271,R04,H056,2025-01-06,Planned,No Show,In-Person,None,2025-01
C000272,R04,H055,2025-01-10,Planned,Completed,Virtual,Apexacare,2025-01
C000273,R04,H059,2025-01-14,Planned,Completed,In-Person,Apexacare,2025-01
C000274,R04,H053,2025-01-01,Planned,No Show,In-Person,None,2025-01
C000275,R04,H053,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000276,R04,H061,2025-01-15,Planned,Completed,In-Person,Apexacare,2025-01
C000277,R04,H050,2025-01-27,Planned,Completed,In-Person,None,2025-01
C000278,R04,H061,2025-01-23,Planned,Completed,In-Person,Apexacare,2025-01
C000279,R04,H058,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000280,R04,H059,2025-01-04,Planned,Completed,In-Person,None,2025-01
C000281,R04,H051,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000282,R04,H063,2025-01-28,Planned,Completed,In-Person,None,2025-01
C000283,R04,H052,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000284,R04,H051,2025-01-20,Planned,Completed,In-Person,Apexacare,2025-01
C000285,R04,H051,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000286,R04,H057,2025-01-30,Planned,,In-Person,Apexacare,2025-01
C000287,R04,H063,2025-01-28,Planned,Completed,In-Person,None,2025-01
C000288,R04,H052,2025-01-05,Planned,Completed,Virtual,Apexacare,2025-01
C000289,R04,H055,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000290,R04,H051,2025-01-26,Planned,No Show,In-Person,None,2025-01
C000291,R04,H058,2025-01-21,Planned,,In-Person,Apexacare,2025-01
C000292,R04,H055,2025-01-20,Planned,,Virtual,Apexacare,2025-01
C000293,R04,H049,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000294,R04,H058,2025-01-22,Planned,Completed,Virtual,Apexacare,2025-01
C000295,R04,H060,2025-01-29,Unplanned,Completed,In-Person,Apexacare,2025-01
C000296,R04,H053,2025-01-26,Unplanned,Completed,In-Person,Apexacare,2025-01
C000297,R04,H049,2025-01-31,Unplanned,Completed,In-Person,Apexacare,2025-01
C000298,R05,H070,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000299,R05,H068,2025-01-16,Planned,No Show,Virtual,None,2025-01
C000300,R05,H074,2025-01-18,Planned,Completed,Virtual,Apexacare,2025-01
C000301,R05,,2025-01-01,Planned,Completed,Phone,Apexacare,2025-01
C000302,R05,H079,2025-01-18,Planned,Completed,In-Person,Apexacare,2025-01
C000303,R05,H064,2025-01-29,Planned,Completed,In-Person,Apexacare,2025-01
C000304,R05,H070,2025-01-25,Planned,Completed,In-Person,Apexacare,2025-01
C000305,R05,H069,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000306,R05,H070,2025-01-08,Planned,Cancelled,In-Person,None,2025-01
C000307,R05,H078,2025-01-02,Planned,Completed,Phone,Apexacare,2025-01
C000308,R05,H071,2025-01-09,Planned,Completed,In-Person,None,2025-01
C000309,R05,H073,2025-01-29,Planned,Completed,Virtual,Apexacare,2025-01
C000310,R05,H066,2025-01-29,Planned,Cancelled,In-Person,None,2025-01
C000311,R05,H072,2025-01-24,Planned,Completed,In-Person,Apexacare,2025-01
C000312,R05,H605,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000313,R05,H065,2025-01-19,Planned,,In-Person,Apexacare,2025-01
C000314,R05,H073,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000315,R05,H064,2025-01-28,Planned,Completed,In-Person,Apexacare,2025-01
C000316,R05,H067,2025-01-23,Planned,Completed,Virtual,Apexacare,2025-01
C000317,R05,H079,2025-01-15,Planned,Cancelled,In-Person,None,2025-01
C000318,R05,H605,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000319,R05,H070,2025-01-19,Planned,Completed,In-Person,Apexacare,2025-01
C000320,R05,H068,2025-01-15,Planned,Cancelled,In-Person,None,2025-01
C000321,R05,H076,2025-01-04,Planned,Completed,In-Person,None,2025-01
C000322,R05,H077,2025-01-07,Planned,Completed,In-Person,Apexacare,2025-01
C000323,R05,H071,2025-01-28,Planned,Completed,In-Person,Apexacare,2025-01
C000324,R05,H070,2025-01-22,Planned,Completed,In-Person,Apexacare,2025-01
C000325,R05,H074,2025-01-20,Planned,Completed,In-Person,Apexacare,2025-01
C000326,R05,H073,2025-01-11,Planned,Completed,In-Person,Apexacare,2025-01
C000327,R05,H066,2025-01-31,Planned,Completed,In-Person,Apexacare,2025-01
C000328,R05,H065,2025-01-22,Planned,Completed,In-Person,Apexacare,2025-01
C000329,R05,H065,2025-01-06,Planned,Completed,In-Person,Apexacare,2025-01
C000330,R05,H079,2025-01-15,Planned,Completed,In-Person,Apexacare,2025-01
C000331,R05,H605,2025-01-04,Planned,Completed,In-Person,Apexacare,2025-01
C000332,R05,H066,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000333,R05,H069,2025-01-25,Planned,,Phone,Apexacare,2025-01
C000334,R05,H073,2025-01-27,Planned,Completed,In-Person,Apexacare,2025-01
C000335,R05,H076,2025-01-31,Planned,,In-Person,None,2025-01
C000336,R05,H075,2025-01-09,Planned,,In-Person,None,2025-01
C000337,R05,H074,2025-01-03,Planned,Completed,In-Person,Apexacare,2025-01
C000338,R05,H069,2025-01-26,Planned,No Show,In-Person,None,2025-01
C000339,R05,H071,2025-01-28,Planned,Completed,Virtual,Apexacare,2025-01
C000340,R05,H605,2025-01-02,Planned,Cancelled,In-Person,None,2025-01
C000341,R05,H068,2025-01-30,Planned,Completed,In-Person,Apexacare,2025-01
C000342,R05,H068,2025-01-13,Planned,Completed,In-Person,Apexacare,2025-01
C000343,R05,H079,2025-01-14,Planned,Completed,In-Person,Apexacare,2025-01
C000344,R05,H065,2025-01-06,Planned,Completed,In-Person,Apexacare,2025-01
C000345,R05,H074,2025-01-05,Planned,Completed,In-Person,Apexacare,2025-01
C000346,R05,H064,2025-01-08,Planned,Completed,In-Person,Apexacare,2025-01
C000347,R05,H075,2025-01-29,Planned,Completed,In-Person,Apexacare,2025-01
C000348,R05,H075,2025-01-09,Planned,,In-Person,Apexacare,2025-01
C000349,R05,H066,2025-01-21,Planned,No Show,In-Person,None,2025-01
